#This file maps mm10's rsem gene IDs to gene symbols
#Allon, July 2015
#Gene RSEM ID	Gene Sybmol	Biotype
gene10599	Steap2	protein_coding
gene1060	Kcnj13	protein_coding
gene10600	Steap1	protein_coding
gene10601	Gm15459	processed_pseudogene
gene10602	Gm5984	N/A
gene10604	Gm5714	N/A
gene10605	Zfp804b	protein_coding
gene10606	Tubb4b-ps1	processed_pseudogene
gene10607	4921511H03Rik	protein_coding
gene10608	Gm4960	processed_pseudogene
gene10609	Gm8802	processed_pseudogene
gene1061	3110079O15Rik	protein_coding
gene10610	LOC102632873	N/A
gene10611	Steap4	protein_coding
gene10612	LOC102632947	N/A
gene10613	Sri	protein_coding
gene10614	Adam22	protein_coding
gene10615	LOC102633126	N/A
gene10616	LOC102633023	N/A
gene10618	LOC102633216	N/A
gene10619	Dbf4	protein_coding
gene1062	Ngef	protein_coding
gene10620	Slc25a40	protein_coding
gene10621	Rundc3b	protein_coding
gene10622	Abcb1a	protein_coding
gene10623	LOC102633297	N/A
gene10624	Gm5106	antisense
gene10625	Abcb1b	protein_coding
gene10626	Abcb4	protein_coding
gene10628	LOC102633603	N/A
gene10629	LOC102633500	N/A
gene1063	Gm6153	processed_pseudogene
gene10630	Crot	protein_coding
gene10632	LOC102633685	N/A
gene10633	Tmem243	protein_coding
gene10634	Dmtf1	protein_coding
gene10635	LOC102633802	N/A
gene10636	Gm7332	processed_pseudogene
gene10637	9330182L06Rik	protein_coding
gene10638	Mir879	miRNA
gene10639	Grm3	protein_coding
gene1064	LOC102636212	N/A
gene10640	LOC102638616	N/A
gene10641	LOC102638718	N/A
gene10642	Gm6586	unprocessed_pseudogene
gene10644	LOC102638942	N/A
gene10645	Gm5152	protein_coding
gene10646	Gm3313	N/A
gene10647	LOC102634187	N/A
gene10648	Gm4959	N/A
gene10649	Gm6455	lincRNA
gene1065	Neu2	protein_coding
gene10651	LOC102634761	N/A
gene10652	LOC102634648	N/A
gene10653	Gm8857	protein_coding
gene10655	LOC102634372	N/A
gene10656	LOC101055912	N/A
gene10658	4930558F17Rik	N/A
gene10659	Gm8879	protein_coding
gene1066	Inpp5d	protein_coding
gene10661	LOC102635141	N/A
gene10662	Gm5861	protein_coding
gene10663	LOC101055918	N/A
gene10664	LOC102635328	N/A
gene10665	LOC102635859	N/A
gene10666	Gm8890	protein_coding
gene10668	LOC102635583	N/A
gene10669	LOC102635518	N/A
gene1067	LOC102636392	N/A
gene10670	Speer1-ps1	protein_coding
gene10672	1700108N06Rik	N/A
gene10673	LOC102635962	N/A
gene10674	Gm8897	protein_coding
gene10675	LOC101055931	N/A
gene10676	LOC102636388	N/A
gene10677	LOC102637211	N/A
gene10678	LOC101055944	N/A
gene1068	LOC102636458	N/A
gene10680	LOC102636901	N/A
gene10681	Gm6460	protein_coding
gene10683	LOC102636717	N/A
gene10684	Gm8922	protein_coding
gene10686	LOC102636533	N/A
gene10687	1700003C15Rik	lincRNA
gene10688	Gm8926	protein_coding
gene1069	Atg16l1	protein_coding
gene10690	LOC102637434	N/A
gene10691	LOC102637579	N/A
gene10692	Gm6465	protein_coding
gene10693	LOC101055974	N/A
gene10694	LOC102637765	N/A
gene10695	4930437M23Rik	N/A
gene10696	4933402N22Rik	protein_coding
gene10699	Sema3d	protein_coding
gene107	Msc	protein_coding
gene1070	Scarna6	scaRNA
gene10700	Gm8925	N/A
gene10701	Gm10481	processed_pseudogene
gene10702	Gm6641	N/A
gene10704	Sema3a	protein_coding
gene10706	Gm6647	unprocessed_pseudogene
gene10707	Speer3	protein_coding
gene10708	Gm6650	unprocessed_pseudogene
gene10709	Gm8968	N/A
gene1071	Sag	protein_coding
gene10710	LOC102639372	N/A
gene10711	Gm5289	N/A
gene10712	Sema3e	protein_coding
gene10713	Pclo	protein_coding
gene10715	Gm9758	protein_coding
gene10716	LOC102638303	N/A
gene10717	Speer4e	protein_coding
gene10718	Speer8-ps1	N/A
gene10719	Gm10354	protein_coding
gene1072	Dgkd	protein_coding
gene10720	Gm17019	protein_coding
gene10721	LOC102632774	N/A
gene10722	Gm21149	N/A
gene10723	Gm21190	N/A
gene10724	LOC102632575	N/A
gene10725	Speer4e	protein_coding
gene10726	LOC102632308	N/A
gene10727	Speer4d	protein_coding
gene10728	4930572O03Rik	protein_coding
gene10729	Speer7-ps1	antisense
gene1073	Gm19582	antisense
gene10730	Speer4c	protein_coding
gene10731	4930519H02Rik	N/A
gene10732	Gm3510	lincRNA
gene10733	Cacna2d1	protein_coding
gene10734	LOC102633101	N/A
gene10735	LOC101056070	N/A
gene10736	Gm8984	processed_pseudogene
gene10737	Hgf	protein_coding
gene10738	LOC102633235	N/A
gene10739	Gm8991	processed_pseudogene
